Band Value,afterFiltered Count,District
-48,1,Birbhum
-47.75,,Birbhum
-47.5,,Birbhum
-47.25,,Birbhum
-47,1,Birbhum
-46.75,2,Birbhum
-46.5,3,Birbhum
-46.25,3,Birbhum
-46,1,Birbhum
-45.75,1,Birbhum
-45.5,3,Birbhum
-45.25,3,Birbhum
-45,1.98,Birbhum
-44.75,1,Birbhum
-44.5,8,Birbhum
-44.25,5,Birbhum
-44,9,Birbhum
-43.75,13,Birbhum
-43.5,10,Birbhum
-43.25,9.812,Birbhum
-43,15,Birbhum
-42.75,15,Birbhum
-42.5,12,Birbhum
-42.25,20,Birbhum
-42,28,Birbhum
-41.75,36,Birbhum
-41.5,27,Birbhum
-41.25,24.933,Birbhum
-41,29.894,Birbhum
-40.75,34.149,Birbhum
-40.5,50.09,Birbhum
-40.25,62,Birbhum
-40,64.114,Birbhum
-39.75,77.749,Birbhum
-39.5,73.631,Birbhum
-39.25,103,Birbhum
-39,96.055,Birbhum
-38.75,147.235,Birbhum
-38.5,161.843,Birbhum
-38.25,168.361,Birbhum
-38,213.976,Birbhum
-37.75,251.62,Birbhum
-37.5,282.914,Birbhum
-37.25,344.553,Birbhum
-37,424.016,Birbhum
-36.75,459.302,Birbhum
-36.5,585.094,Birbhum
-36.25,658.192,Birbhum
-36,805.573,Birbhum
-35.75,895.678,Birbhum
-35.5,"1,045.96",Birbhum
-35.25,"1,257.37",Birbhum
-35,"1,497.25",Birbhum
-34.75,"1,684.08",Birbhum
-34.5,"2,006.29",Birbhum
-34.25,"2,265.56",Birbhum
-34,"2,602.72",Birbhum
-33.75,"3,123.89",Birbhum
-33.5,"3,508.71",Birbhum
-33.25,"3,996.35",Birbhum
-33,"4,539.29",Birbhum
-32.75,"5,253.61",Birbhum
-32.5,"5,786.97",Birbhum
-32.25,"6,834.01",Birbhum
-32,"7,612.72",Birbhum
-31.75,"8,555.26",Birbhum
-31.5,"9,313.31",Birbhum
-31.25,"10,729.67",Birbhum
-31,"11,590.64",Birbhum
-30.75,"12,876.14",Birbhum
-30.5,"14,514.83",Birbhum
-30.25,"15,794.11",Birbhum
-30,"17,371.42",Birbhum
-29.75,"18,325.40",Birbhum
-29.5,"20,185.19",Birbhum
-29.25,"21,930.54",Birbhum
-29,"23,434.12",Birbhum
-28.75,"25,091.06",Birbhum
-28.5,"26,803.28",Birbhum
-28.25,"28,506.62",Birbhum
-28,"29,867.42",Birbhum
-27.75,"31,415.79",Birbhum
-27.5,"32,679.64",Birbhum
-27.25,"33,837.04",Birbhum
-27,"34,683.58",Birbhum
-26.75,"35,749.49",Birbhum
-26.5,"36,357.15",Birbhum
-26.25,"36,997.22",Birbhum
-26,"37,697.75",Birbhum
-25.75,"38,043.19",Birbhum
-25.5,"38,507.27",Birbhum
-25.25,"39,178.98",Birbhum
-25,"39,995.97",Birbhum
-24.75,"40,963.45",Birbhum
