Band Value,afterFiltered Count
-53.5,1
-53,
-52.5,
-52,
-51.5,
-51,
-50.5,
-50,
-49.5,
-49,6
-48.5,7
-48,11.875
-47.5,13
-47,19
-46.5,24
-46,31
-45.5,38
-45,60
-44.5,60
-44,86
-43.5,127
-43,171
-42.5,184
-42,269.875
-41.5,320.612
-41,477.957
-40.5,679
-40,851.557
-39.5,"1,187.141"
-39,"1,691.224"
-38.5,"2,236.737"
-38,"3,064.922"
-37.5,"4,228.569"
-37,"5,779.816"
-36.5,"7,977.604"
-36,"10,698.388"
-35.5,"14,248.004"
-35,"19,231.118"
-34.5,"25,252.243"
-34,"32,715.345"
-33.5,"42,677.475"
-33,"53,940.671"
-32.5,"67,418.855"
-32,"82,859.647"
-31.5,"100,358.106"
-31,"120,500.757"
-30.5,"140,023.122"
-30,"160,682.518"
-29.5,"180,132.729"
-29,"197,251.361"
-28.5,"211,247.271"
-28,"219,741.129"
-27.5,"223,629.098"
-27,"222,794.133"
-26.5,"219,205.396"
-26,"211,169.651"
-25.5,"203,933.58"
-25,"199,652.984"
-24.5,"198,715.357"
-24,"201,855.875"
-23.5,"211,248.157"
-23,"230,308.247"
-22.5,"256,474.824"
-22,"296,383.09"
-21.5,"357,029.996"
-21,"448,754.271"
-20.5,"579,466.859"
-20,"767,068.733"
-19.5,"1,019,160.149"
-19,"1,328,394.604"
-18.5,"1,669,900.463"
-18,"1,997,049.761"
-17.5,"2,246,392.906"
-17,"2,377,156.361"
-16.5,"2,388,055.357"
-16,"2,305,084.753"
-15.5,"2,182,040.404"
-15,"2,032,017.894"
-14.5,"1,859,120.431"
-14,"1,647,986.165"
-13.5,"1,379,057.149"
-13,"1,082,818.996"
-12.5,"787,388.545"
-12,"535,418.494"
-11.5,"339,436.294"
-11,"206,077.659"
-10.5,"120,809.192"
-10,"70,316.047"
-9.5,"41,845.745"
-9,"26,192.851"
-8.5,"17,234.812"
-8,"12,466.11"
-7.5,"9,452.29"
-7,"7,193.384"
-6.5,"5,581.204"
-6,"4,494"
-5.5,"3,519.247"
-5,"2,781.682"
-4.5,"2,210.29"
-4,"1,755"
-3.5,"1,462.51"
-3,"1,066.973"
-2.5,986.412
-2,713.835
-1.5,585.031
-1,475
-0.5,407
0,302
0.5,262
1,205
1.5,171
2,128
2.5,134
3,100
3.5,54
4,62
4.5,37
5,21
5.5,30
6,27
6.5,22
7,17
7.5,22
8,14
8.5,14
9,9
9.5,5
10,9
10.5,5
11,4
11.5,3
12,2
12.5,2
13,3
13.5,1
14,6
14.5,3
15,3
15.5,3
16,3
16.5,1
17,
17.5,1
