Band Value,afterFiltered Count
-48.75,1
-48.5,
-48.25,1
-48,
-47.75,
-47.5,1
-47.25,2
-47,1
-46.75,1
-46.5,2
-46.25,1
-46,5
-45.75,1
-45.5,2
-45.25,
-45,10
-44.75,4
-44.5,8
-44.25,3
-44,7
-43.75,7
-43.5,11
-43.25,12.475
-43,14
-42.75,11
-42.5,12.765
-42.25,22
-42,27.447
-41.75,27
-41.5,43.906
-41.25,59.835
-41,50
-40.75,65.459
-40.5,51
-40.25,98.714
-40,116.169
-39.75,135.02
-39.5,155.686
-39.25,166.353
-39,219.835
-38.75,248.475
-38.5,289.204
-38.25,351.537
-38,412.847
-37.75,456.678
-37.5,616.937
-37.25,707.388
-37,823.557
-36.75,"1,025.722"
-36.5,"1,166.275"
-36.25,"1,357.204"
-36,"1,606.553"
-35.75,"1,931.698"
-35.5,"2,183.133"
-35.25,"2,718.216"
-35,"3,067.831"
-34.75,"3,578.827"
-34.5,"4,280.118"
-34.25,"4,976.259"
-34,"5,792.894"
-33.75,"6,493.075"
-33.5,"7,588.392"
-33.25,"8,599.878"
-33,"9,689.859"
-32.75,"11,179.137"
-32.5,"12,582.851"
-32.25,"14,226.957"
-32,"15,859.647"
-31.75,"17,992.125"
-31.5,"19,851.231"
-31.25,"22,162.722"
-31,"24,323.925"
-30.75,"26,664.02"
-30.5,"29,465.31"
-30.25,"31,977.447"
-30,"34,621.306"
-29.75,"37,179.192"
-29.5,"39,768.529"
-29.25,"42,553.235"
-29,"45,201.8"
-28.75,"47,058.953"
-28.5,"49,824.808"
-28.25,"51,619.318"
-28,"52,643.376"
-27.75,"54,575.286"
-27.5,"55,188.694"
-27.25,"55,654.643"
-27,"55,584.533"
-26.75,"55,264.192"
-26.5,"55,487.255"
-26.25,"54,518.529"
-26,"53,199.965"
-25.75,"52,415.737"
-25.5,"51,551.973"
-25.25,"50,443.984"
-25,"49,352.141"
-24.75,"49,462.031"
-24.5,"49,108.38"
-24.25,"48,948.718"
-24,"49,110.984"
-23.75,"50,136.024"
-23.5,"51,560.49"
-23.25,"53,111.494"
-23,"55,947.749"
-22.75,"58,094.969"
-22.5,"62,094.263"
-22.25,"66,140.89"
-22,"71,062.314"
-21.75,"76,638.141"
-21.5,"83,332.051"
-21.25,"90,397.502"
-21,"97,491.914"
-20.75,"106,134.8"
-20.5,"115,472.925"
-20.25,"125,597.698"
-20,"137,256.651"
-19.75,"147,807.2"
-19.5,"160,992.871"
-19.25,"174,370.204"
-19,"188,356.173"
-18.75,"201,167.267"
-18.5,"216,041.851"
-18.25,"231,097.588"
-18,"246,861.765"
-17.75,"264,633.706"
-17.5,"283,655.604"
-17.25,"302,861.933"
-17,"325,103"
-16.75,"350,154.314"
-16.5,"379,171.2"
-16.25,"408,493.694"
-16,"442,822.855"
-15.75,"476,520.996"
-15.5,"510,834.204"
-15.25,"542,259.29"
-15,"570,568.153"
-14.75,"590,709.659"
-14.5,"601,629.604"
-14.25,"603,851.686"
-14,"591,580.867"
-13.75,"567,821.784"
-13.5,"535,014.78"
-13.25,"491,520.42"
-13,"441,846.412"
-12.75,"388,619.698"
-12.5,"334,119.725"
-12.25,"281,386.153"
-12,"234,108.902"
-11.75,"190,752.729"
-11.5,"153,473.067"
-11.25,"122,911.816"
-11,"96,025.835"
-10.75,"75,881.016"
-10.5,"58,949.086"
-10.25,"46,165.098"
-10,"36,451.286"
-9.75,"29,087.251"
-9.5,"23,368.729"
-9.25,"19,320.749"
-9,"15,910.722"
-8.75,"13,422.369"
-8.5,"11,301.675"
-8.25,"9,988.157"
-8,"8,694.502"
-7.75,"7,503.212"
-7.5,"6,646.004"
-7.25,"5,905.969"
-7,"5,259.329"
-6.75,"4,657.278"
-6.5,"4,194.075"
-6.25,"3,662.302"
-6,"3,194.922"
-5.75,"2,925.678"
-5.5,"2,575.961"
-5.25,"2,303.043"
-5,"2,009.102"
-4.75,"1,888"
-4.5,"1,641"
-4.25,"1,414"
-4,"1,239"
-3.75,"1,179"
-3.5,991
-3.25,937.102
-3,801.733
-2.75,727
-2.5,667
-2.25,545.804
-2,545
-1.75,464
-1.5,419
-1.25,374
-1,363
-0.75,301
-0.5,325
-0.25,297
0,267
0.25,206
0.5,210
0.75,192
1,163
1.25,176
1.5,142
1.75,145
2,120
2.25,103
2.5,94
2.75,106
3,93
3.25,78
3.5,75
3.75,69
4,62
4.25,69
4.5,61
4.75,47
5,35
5.25,45
5.5,31
5.75,31
6,24
6.25,25
6.5,24
6.75,23
7,11
7.25,13
7.5,15
7.75,6
8,10
8.25,12
8.5,6
8.75,9
9,12
9.25,3
9.5,6
9.75,4
10,2
10.25,7
10.5,1
10.75,2
11,3
11.25,5
11.5,3
11.75,4
12,1
12.25,1
12.5,
12.75,1
13,
13.25,1
13.5,1
13.75,1
