Band Value,afterFiltered Count
-48.25,3
-48,3
-47.75,3
-47.5,3
-47.25,7
-47,16
-46.75,7.071
-46.5,13
-46.25,24
-46,16
-45.75,22
-45.5,25
-45.25,31
-45,35
-44.75,45
-44.5,41
-44.25,61
-44,82
-43.75,75
-43.5,89
-43.25,116
-43,137.02
-42.75,177
-42.5,199
-42.25,220
-42,292.659
-41.75,340.125
-41.5,358
-41.25,446.89
-41,536.875
-40.75,690
-40.5,745.827
-40.25,847.31
-40,"1,002.016"
-39.75,"1,219.235"
-39.5,"1,412.4"
-39.25,"1,641.922"
-39,"1,924.694"
-38.75,"2,281.51"
-38.5,"2,695.443"
-38.25,"3,280.2"
-38,"3,815.733"
-37.75,"4,451.153"
-37.5,"5,047.475"
-37.25,"5,929.58"
-37,"7,122.314"
-36.75,"8,148.729"
-36.5,"9,527.796"
-36.25,"11,220.843"
-36,"12,735.408"
-35.75,"14,774.729"
-35.5,"16,768.737"
-35.25,"19,492.451"
-35,"21,985.369"
-34.75,"25,241.208"
-34.5,"28,529.094"
-34.25,"32,180.541"
-34,"36,751.11"
-33.75,"40,976.373"
-33.5,"45,930.435"
-33.25,"51,724.973"
-33,"57,455.216"
-32.75,"63,581.643"
-32.5,"70,155.969"
-32.25,"76,512.902"
-32,"84,519.31"
-31.75,"91,933.357"
-31.5,"100,515.337"
-31.25,"108,250.565"
-31,"117,662.141"
-30.75,"124,911.094"
-30.5,"134,186"
-30.25,"142,345.118"
-30,"150,708.318"
-29.75,"157,145.58"
-29.5,"164,414.675"
-29.25,"170,085.243"
-29,"175,603.753"
-28.75,"179,803.294"
-28.5,"182,480.333"
-28.25,"185,610.153"
-28,"186,960.627"
-27.75,"186,545.427"
-27.5,"185,560.435"
-27.25,"183,777.91"
-27,"180,638.694"
-26.75,"176,955.451"
-26.5,"172,770.945"
-26.25,"167,343.365"
-26,"163,485.922"
-25.75,"159,470.043"
-25.5,"155,197.655"
-25.25,"151,677.031"
-25,"148,474.749"
-24.75,"146,864.224"
-24.5,"146,093.808"
-24.25,"146,335.843"
-24,"148,770.573"
-23.75,"151,030.816"
-23.5,"154,503.137"
-23.25,"161,508.039"
-23,"167,990.431"
-22.75,"177,131.4"
-22.5,"189,512.686"
-22.25,"204,657.639"
-22,"222,026.49"
-21.75,"245,868.765"
-21.5,"274,266.859"
-21.25,"307,977.227"
-21,"350,458.337"
-20.75,"401,508.404"
-20.5,"461,996.741"
-20.25,"535,866.247"
-20,"621,593.478"
-19.75,"719,449.259"
-19.5,"830,461.882"
-19.25,"956,625.502"
-19,"1,091,059.522"
-18.75,"1,233,519.416"
-18.5,"1,380,963.141"
-18.25,"1,526,614.345"
-18,"1,663,152.298"
-17.75,"1,792,266.988"
-17.5,"1,902,570.055"
-17.25,"1,994,364.145"
-17,"2,063,518.192"
-16.75,"2,107,643.439"
-16.5,"2,134,798.012"
-16.25,"2,138,634.882"
-16,"2,128,601.369"
-15.75,"2,100,446.141"
-15.5,"2,060,637.49"
-15.25,"2,001,091.996"
-15,"1,927,915.639"
-14.75,"1,837,291.569"
-14.5,"1,732,983.941"
-14.25,"1,608,229.957"
-14,"1,470,452.722"
-13.75,"1,322,701.306"
-13.5,"1,171,603.545"
-13.25,"1,018,587.251"
-13,"871,161.937"
-12.75,"729,593.965"
-12.5,"602,695.522"
-12.25,"488,761.973"
-12,"391,105.129"
-11.75,"307,068.008"
-11.5,"239,406.106"
-11.25,"184,123.149"
-11,"139,971.655"
-10.75,"105,118.8"
-10.5,"79,104.965"
-10.25,"58,965.871"
-10,"44,052.969"
-9.75,"32,658.11"
-9.5,"24,277.031"
-9.25,"18,536.216"
-9,"14,328.584"
-8.75,"11,302.933"
-8.5,"8,970.176"
-8.25,"7,272.298"
-8,"6,128.094"
-7.75,"4,993.204"
-7.5,"4,347.612"
-7.25,"3,793.882"
-7,"3,308.337"
-6.75,"2,779"
-6.5,"2,452"
-6.25,"2,205.533"
-6,"1,885"
-5.75,"1,811.031"
-5.5,"1,451"
-5.25,"1,381"
-5,"1,170.698"
-4.75,"1,004"
-4.5,"1,005"
-4.25,828
-4,753
-3.75,627
-3.5,575
-3.25,510
-3,456
-2.75,364
-2.5,348
-2.25,285
-2,248
-1.75,213
-1.5,192
-1.25,182
-1,139
-0.75,140
-0.5,124
-0.25,95
0,88
0.25,85
0.5,72
0.75,56
1,68
1.25,56
1.5,44
1.75,42
2,32
2.25,27
2.5,32
2.75,23
3,23
3.25,9
3.5,19
3.75,11
4,10
4.25,8
4.5,6
4.75,9
5,7
5.25,4
5.5,5
5.75,5
6,3
6.25,2
6.5,7
6.75,2
7,3
7.25,1
7.5,1
7.75,
8,
8.25,2
