Band Value,afterFiltered Count
-48.5,19
-48,17
-47.5,26
-47,43.992
-46.5,57
-46,81.078
-45.5,76.212
-45,139.38
-44.5,184.016
-44,234.012
-43.5,292.741
-43,397.035
-42.5,617.149
-42,811.624
-41.5,"1,118.341"
-41,"1,504.086"
-40.5,"2,018.251"
-40,"2,674.522"
-39.5,"3,630.31"
-39,"4,829.188"
-38.5,"6,467.424"
-38,"8,777.635"
-37.5,"11,831.016"
-37,"15,685.788"
-36.5,"20,996.514"
-36,"27,114.247"
-35.5,"35,095.259"
-35,"45,122.855"
-34.5,"57,358.835"
-34,"71,808.635"
-33.5,"89,217.835"
-33,"108,058.039"
-32.5,"129,297.835"
-32,"153,555.773"
-31.5,"179,884.271"
-31,"205,574.388"
-30.5,"233,277.839"
-30,"259,977.514"
-29.5,"285,418"
-29,"310,030.173"
-28.5,"330,429.149"
-28,"348,253.412"
-27.5,"364,949.141"
-27,"381,033.627"
-26.5,"394,538.38"
-26,"410,861.957"
-25.5,"427,998.471"
-25,"448,252.02"
-24.5,"469,342.451"
-24,"495,450.165"
-23.5,"522,429.447"
-23,"554,128.906"
-22.5,"583,889.106"
-22,"619,034.133"
-21.5,"655,488.169"
-21,"701,148.631"
-20.5,"756,670.588"
-20,"826,714.275"
-19.5,"919,385.333"
-19,"1,035,250.749"
-18.5,"1,183,142.082"
-18,"1,368,031.024"
-17.5,"1,599,315.306"
-17,"1,873,606.604"
-16.5,"2,187,121.953"
-16,"2,516,025.58"
-15.5,"2,810,752.918"
-15,"2,992,406.78"
-14.5,"2,993,935.278"
-14,"2,769,847.2"
-13.5,"2,352,903.6"
-13,"1,827,825.627"
-12.5,"1,302,992.075"
-12,"858,477.376"
-11.5,"529,810.188"
-11,"312,580.071"
-10.5,"176,795.729"
-10,"99,628.984"
-9.5,"57,876.047"
-9,"35,866.157"
-8.5,"23,659.443"
-8,"16,725.922"
-7.5,"12,571.396"
-7,"9,617.518"
-6.5,"7,448.592"
-6,"5,983.325"
-5.5,"4,637.69"
-5,"3,671.02"
-4.5,"3,003.957"
-4,"2,442.89"
-3.5,"2,001.941"
-3,"1,614.369"
-2.5,"1,278.153"
-2,"1,039"
-1.5,904.78
-1,710.486
-0.5,625
0,511
0.5,416
1,338
1.5,296
2,264.816
2.5,254
3,178
3.5,177
4,159
4.5,123
5,136
5.5,129
6,102
6.5,87
7,85
7.5,78
8,65
8.5,55
9,54
9.5,45
10,45
10.5,27
11,25
11.5,17
12,12
12.5,18
13,15
13.5,11
14,14
14.5,7
15,8
15.5,4
16,4
16.5,6
17,2
17.5,4
18,
18.5,2
