Band Value,afterFiltered Count
-46,1
-45.75,
-45.5,
-45.25,
-45,
-44.75,
-44.5,
-44.25,
-44,
-43.75,1
-43.5,
-43.25,1
-43,1
-42.75,3
-42.5,2
-42.25,1
-42,2
-41.75,1
-41.5,2
-41.25,3
-41,3
-40.75,1.706
-40.5,2.384
-40.25,6
-40,3
-39.75,6
-39.5,5.749
-39.25,3
-39,8
-38.75,7.067
-38.5,14.192
-38.25,15.906
-38,11.749
-37.75,21.039
-37.5,22
-37.25,19.012
-37,28.588
-36.75,31.416
-36.5,51.149
-36.25,53
-36,59.612
-35.75,55.976
-35.5,91.867
-35.25,92.875
-35,106.624
-34.75,114.255
-34.5,167.945
-34.25,154.349
-34,199.376
-33.75,232.949
-33.5,315.471
-33.25,371.796
-33,442.663
-32.75,459.494
-32.5,503.757
-32.25,623.839
-32,736.067
-31.75,832.561
-31.5,957.314
-31.25,"1,052.976"
-31,"1,172.4"
-30.75,"1,405.447"
-30.5,"1,552.569"
-30.25,"1,811.463"
-30,"1,965.631"
-29.75,"2,209.588"
-29.5,"2,525.71"
-29.25,"2,792.09"
-29,"3,048.494"
-28.75,"3,334.059"
-28.5,"3,533.149"
-28.25,"3,835.945"
-28,"4,212.094"
-27.75,"4,529.643"
-27.5,"4,946.38"
-27.25,"5,389.725"
-27,"5,716.533"
-26.75,"6,124.184"
-26.5,"6,396.941"
-26.25,"6,896.592"
-26,"7,192.196"
-25.75,"7,554.027"
-25.5,"8,163.4"
-25.25,"8,435.435"
-25,"8,829.373"
-24.75,"9,359.827"
-24.5,"9,788.122"
-24.25,"10,175.212"
-24,"10,811.992"
-23.75,"11,465.631"
-23.5,"12,460.953"
-23.25,"13,459.141"
-23,"14,668.173"
-22.75,"16,142.733"
-22.5,"18,025.004"
-22.25,"20,278.18"
-22,"23,206.478"
-21.75,"26,708.31"
-21.5,"31,064.961"
-21.25,"35,832.02"
-21,"42,210.992"
-20.75,"49,878.231"
-20.5,"58,668.012"
-20.25,"69,699.875"
-20,"82,767.137"
-19.75,"97,603.329"
-19.5,"114,927.918"
-19.25,"134,491.506"
-19,"156,582.969"
-18.75,"179,802.784"
-18.5,"207,082.953"
-18.25,"234,750.839"
-18,"263,485.945"
-17.75,"292,986.808"
-17.5,"324,126.667"
-17.25,"353,073.416"
-17,"383,984.627"
-16.75,"412,577.584"
-16.5,"438,808.718"
-16.25,"465,937.475"
-16,"491,074.855"
-15.75,"513,169.224"
-15.5,"534,109.404"
-15.25,"548,876.831"
-15,"558,831.549"
-14.75,"562,394.969"
-14.5,"559,537.314"
-14.25,"548,174.329"
-14,"528,186.165"
-13.75,"500,076.255"
-13.5,"463,228.302"
-13.25,"423,233.78"
-13,"378,299.388"
-12.75,"333,167.655"
-12.5,"287,309.216"
-12.25,"243,491.09"
-12,"203,135.627"
-11.75,"166,499.247"
-11.5,"134,752.573"
-11.25,"108,682.255"
-11,"86,655.827"
-10.75,"68,219.851"
-10.5,"54,303.416"
-10.25,"43,020.851"
-10,"34,191.616"
-9.75,"27,529.592"
-9.5,"22,461.69"
-9.25,"18,520.855"
-9,"15,420.686"
-8.75,"13,335.161"
-8.5,"11,677.102"
-8.25,"10,120.867"
-8,"8,825.678"
-7.75,"7,807.706"
-7.5,"7,147.733"
-7.25,"6,493.988"
-7,"5,844.255"
-6.75,"5,224.012"
-6.5,"4,662"
-6.25,"4,185.624"
-6,"3,778.992"
-5.75,"3,531.122"
-5.5,"3,164"
-5.25,"2,884"
-5,"2,618"
-4.75,"2,387"
-4.5,"2,214"
-4.25,"2,081.384"
-4,"1,775.396"
-3.75,"1,574"
-3.5,"1,469.784"
-3.25,"1,330"
-3,"1,242"
-2.75,"1,075"
-2.5,982
-2.25,868
-2,852
-1.75,704
-1.5,637.612
-1.25,637
-1,508
-0.75,472
-0.5,439.349
-0.25,414
0,333
0.25,337.965
0.5,281
0.75,301.02
1,238
1.25,233
1.5,224
1.75,181
2,173.078
2.25,143
2.5,153
2.75,134
3,124.898
3.25,111
3.5,89
3.75,74
4,74
4.25,84.482
4.5,80
4.75,63
5,65
5.25,62
5.5,67
5.75,57
6,68
6.25,50
6.5,60
6.75,45
7,42
7.25,43
7.5,48
7.75,57
8,37
8.25,39
8.5,23
8.75,24
9,24
9.25,32
9.5,22
9.75,12
10,24
10.25,10
10.5,14
10.75,14
11,8
11.25,4
11.5,3
11.75,
12,2
12.25,2
12.5,1
12.75,3
13,2
