Band Value,afterFiltered Count
-49,5
-48.75,8
-48.5,4
-48.25,5
-48,5
-47.75,7
-47.5,8
-47.25,6
-47,13
-46.75,8
-46.5,14
-46.25,16
-46,10.251
-45.75,13
-45.5,18
-45.25,12
-45,32
-44.75,20
-44.5,33
-44.25,27
-44,45
-43.75,48
-43.5,64
-43.25,54
-43,74
-42.75,86
-42.5,116
-42.25,109
-42,118
-41.75,146
-41.5,180
-41.25,199
-41,229
-40.75,302
-40.5,278
-40.25,378
-40,415
-39.75,501
-39.5,573
-39.25,624.522
-39,781.09
-38.75,860.478
-38.5,983
-38.25,"1,195"
-38,"1,403.353"
-37.75,"1,560.251"
-37.5,"1,871"
-37.25,"2,189.227"
-37,"2,508"
-36.75,"2,798.847"
-36.5,"3,308.514"
-36.25,"3,857.361"
-36,"4,383.714"
-35.75,"5,023.063"
-35.5,"5,886.612"
-35.25,"6,805.839"
-35,"7,838.796"
-34.75,"8,871.702"
-34.5,"10,263.686"
-34.25,"11,684.984"
-34,"13,353.329"
-33.75,"15,282.459"
-33.5,"17,186.573"
-33.25,"19,210.906"
-33,"21,749.361"
-32.75,"24,269.251"
-32.5,"27,197.365"
-32.25,"30,072.49"
-32,"33,582.671"
-31.75,"36,972.302"
-31.5,"41,010.231"
-31.25,"44,909.804"
-31,"49,099.573"
-30.75,"53,626.847"
-30.5,"58,091.173"
-30.25,"62,688.098"
-30,"67,918.973"
-29.75,"72,968.365"
-29.5,"77,455.663"
-29.25,"82,268.635"
-29,"87,162.318"
-28.75,"91,346.353"
-28.5,"95,067.945"
-28.25,"98,420.843"
-28,"102,328.392"
-27.75,"104,589.82"
-27.5,"106,892.992"
-27.25,"108,684.506"
-27,"109,351.573"
-26.75,"110,085.757"
-26.5,"109,913.09"
-26.25,"109,546.329"
-26,"109,479.02"
-25.75,"108,973.259"
-25.5,"107,625.192"
-25.25,"106,619.349"
-25,"105,570.533"
-24.75,"106,390.812"
-24.5,"106,301.482"
-24.25,"107,481.29"
-24,"110,135.275"
-23.75,"112,271.055"
-23.5,"115,968.902"
-23.25,"121,773.424"
-23,"127,649.929"
-22.75,"136,773.427"
-22.5,"146,327.373"
-22.25,"158,920.843"
-22,"174,415.522"
-21.75,"191,517.741"
-21.5,"213,235.573"
-21.25,"236,905.427"
-21,"265,530.949"
-20.75,"298,575.443"
-20.5,"337,049.745"
-20.25,"380,382.055"
-20,"428,899.192"
-19.75,"483,410.106"
-19.5,"545,186.541"
-19.25,"610,827.71"
-19,"680,906.133"
-18.75,"755,786.741"
-18.5,"837,189.961"
-18.25,"918,484.188"
-18,"1,001,695.612"
-17.75,"1,082,321.145"
-17.5,"1,156,059.243"
-17.25,"1,229,137.514"
-17,"1,289,256.631"
-16.75,"1,340,734.894"
-16.5,"1,380,205.925"
-16.25,"1,407,524.443"
-16,"1,421,882.871"
-15.75,"1,426,989.18"
-15.5,"1,420,230.678"
-15.25,"1,401,158.835"
-15,"1,375,528.918"
-14.75,"1,345,343.38"
-14.5,"1,301,908.686"
-14.25,"1,247,746.455"
-14,"1,188,115.329"
-13.75,"1,111,061.004"
-13.5,"1,028,944.898"
-13.25,"935,205.78"
-13,"836,649.38"
-12.75,"733,288.329"
-12.5,"631,531.424"
-12.25,"535,202.039"
-12,"443,620.565"
-11.75,"360,974.118"
-11.5,"289,288.161"
-11.25,"229,351.412"
-11,"178,727.373"
-10.75,"137,043.459"
-10.5,"104,417.824"
-10.25,"79,618.271"
-10,"59,771.518"
-9.75,"44,946.094"
-9.5,"34,046.333"
-9.25,"26,099.463"
-9,"20,308.392"
-8.75,"15,819.267"
-8.5,"12,931.635"
-8.25,"10,648.616"
-8,"8,837.247"
-7.75,"7,477.792"
-7.5,"6,381.078"
-7.25,"5,426.471"
-7,"4,730.722"
-6.75,"4,115.537"
-6.5,"3,628.498"
-6.25,"3,250.024"
-6,"2,877"
-5.75,"2,577.706"
-5.5,"2,181.863"
-5.25,"1,954.98"
-5,"1,730.098"
-4.75,"1,510.592"
-4.5,"1,294.804"
-4.25,"1,183.149"
-4,"1,110"
-3.75,973.263
-3.5,900.812
-3.25,764.098
-3,709
-2.75,633.427
-2.5,531.655
-2.25,501
-2,470
-1.75,392
-1.5,372
-1.25,326.282
-1,276
-0.75,274
-0.5,215.145
-0.25,221
0,183
0.25,183.949
0.5,139
0.75,148.706
1,121
1.25,107.996
1.5,81
1.75,81.573
2,82
2.25,64
2.5,50
2.75,52
3,60
3.25,44
3.5,29
3.75,24
4,23
4.25,27
4.5,27
4.75,18
5,20
5.25,13
5.5,17
5.75,11
6,11
6.25,10
6.5,7
6.75,7
7,11
7.25,4
7.5,7
7.75,3
8,5
8.25,1
8.5,1
8.75,5
9,4
9.25,4
9.5,5
9.75,3
10,2
10.25,1
10.5,1
10.75,1
11,2
11.25,1
11.5,
11.75,
12,1
12.25,
12.5,
12.75,1
13,4
13.25,2
13.5,
13.75,
14,
14.25,2
