Band Value,afterFiltered Count
-48.25,1
-48,5
-47.75,6
-47.5,2
-47.25,4
-47,5
-46.75,10
-46.5,7
-46.25,10
-46,7
-45.75,9
-45.5,10
-45.25,9
-45,21
-44.75,19
-44.5,26
-44.25,34
-44,24
-43.75,29
-43.5,31
-43.25,43
-43,66
-42.75,68
-42.5,71.055
-42.25,95
-42,113
-41.75,134
-41.5,139.024
-41.25,178
-41,188.969
-40.75,225.431
-40.5,262.976
-40.25,315.471
-40,352.918
-39.75,411.961
-39.5,515.824
-39.25,619.557
-39,696.627
-38.75,826
-38.5,"1,033.569"
-38.25,"1,115.573"
-38,"1,389.718"
-37.75,"1,659.459"
-37.5,"1,922.373"
-37.25,"2,202.255"
-37,"2,606.541"
-36.75,"3,043.51"
-36.5,"3,730.965"
-36.25,"4,320.302"
-36,"4,822.894"
-35.75,"5,943.027"
-35.5,"6,579.031"
-35.25,"7,631.631"
-35,"8,948.094"
-34.75,"10,433.176"
-34.5,"11,939.957"
-34.25,"13,656.925"
-34,"15,354.004"
-33.75,"17,554.667"
-33.5,"19,964.678"
-33.25,"22,638.173"
-33,"25,731.863"
-32.75,"28,701.424"
-32.5,"32,272.682"
-32.25,"35,884.149"
-32,"39,519.114"
-31.75,"44,000.753"
-31.5,"47,969.235"
-31.25,"52,970.384"
-31,"57,969.655"
-30.75,"62,632.925"
-30.5,"67,725.51"
-30.25,"73,349.114"
-30,"78,696.416"
-29.75,"83,424.031"
-29.5,"88,398.341"
-29.25,"93,635.361"
-29,"97,642.059"
-28.75,"101,301.796"
-28.5,"105,390.761"
-28.25,"107,818.898"
-28,"111,000.973"
-27.75,"111,364.459"
-27.5,"112,638.102"
-27.25,"113,362.082"
-27,"113,082.8"
-26.75,"112,184.875"
-26.5,"110,995.761"
-26.25,"109,055.149"
-26,"106,860.016"
-25.75,"105,217.933"
-25.5,"103,994"
-25.25,"101,854.729"
-25,"100,399.651"
-24.75,"99,583.518"
-24.5,"99,335.157"
-24.25,"100,881.78"
-24,"102,371.161"
-23.75,"105,513.616"
-23.5,"110,680.941"
-23.25,"117,333.478"
-23,"127,308.176"
-22.75,"139,216.576"
-22.5,"154,421.373"
-22.25,"174,385.294"
-22,"200,559.51"
-21.75,"232,730.765"
-21.5,"274,552.937"
-21.25,"324,982.78"
-21,"387,360.278"
-20.75,"465,027.071"
-20.5,"556,253.18"
-20.25,"668,648.769"
-20,"797,885.027"
-19.75,"946,892.106"
-19.5,"1,114,533.949"
-19.25,"1,299,539.863"
-19,"1,494,301.631"
-18.75,"1,697,044.243"
-18.5,"1,895,692.231"
-18.25,"2,081,191.757"
-18,"2,243,773.655"
-17.75,"2,372,934.765"
-17.5,"2,462,668.18"
-17.25,"2,509,319.525"
-17,"2,498,632.973"
-16.75,"2,444,257.663"
-16.5,"2,354,960.11"
-16.25,"2,230,456.969"
-16,"2,085,125.333"
-15.75,"1,933,233.655"
-15.5,"1,778,853.863"
-15.25,"1,629,687.584"
-15,"1,487,200.624"
-14.75,"1,350,372.078"
-14.5,"1,227,977.384"
-14.25,"1,105,552.224"
-14,"992,709.843"
-13.75,"882,862.604"
-13.5,"777,724.161"
-13.25,"675,504.149"
-13,"577,196.259"
-12.75,"488,639.737"
-12.5,"405,763.6"
-12.25,"333,294.294"
-12,"269,776.043"
-11.75,"215,302.333"
-11.5,"169,186.49"
-11.25,"131,658.384"
-11,"102,154.239"
-10.75,"79,008.408"
-10.5,"60,594.29"
-10.25,"46,752.341"
-10,"36,061.475"
-9.75,"27,820.506"
-9.5,"21,755.831"
-9.25,"17,372.129"
-9,"14,407.816"
-8.75,"12,054.31"
-8.5,"9,862.584"
-8.25,"8,391.059"
-8,"7,298.38"
-7.75,"6,310.765"
-7.5,"5,410.349"
-7.25,"4,875.212"
-7,"4,304.325"
-6.75,"3,783.957"
-6.5,"3,357.125"
-6.25,"2,954.776"
-6,"2,580.349"
-5.75,"2,373.682"
-5.5,"2,138"
-5.25,"1,781.58"
-5,"1,586.224"
-4.75,"1,411"
-4.5,"1,218.604"
-4.25,"1,157.973"
-4,"1,034.365"
-3.75,876.875
-3.5,815
-3.25,713
-3,635.565
-2.75,522
-2.5,518
-2.25,462
-2,444
-1.75,350
-1.5,346
-1.25,297
-1,246
-0.75,231
-0.5,193
-0.25,179
0,167.949
0.25,155
0.5,140
0.75,123
1,118
1.25,87
1.5,87
1.75,78
2,80
2.25,72
2.5,69
2.75,46
3,54
3.25,33
3.5,38
3.75,31
4,26
4.25,18
4.5,21
4.75,12
5,27
5.25,20
5.5,16
5.75,12
6,15
6.25,10
6.5,7
6.75,7
7,6
7.25,8
7.5,15
7.75,10
8,9
8.25,5
8.5,8
8.75,7
9,6
9.25,3
9.5,4
9.75,4
10,5
10.25,2
10.5,2
10.75,
11,1
11.25,1
11.5,
11.75,2
12,6
12.25,2
12.5,3
12.75,2
13,1
13.25,2
13.5,
13.75,
14,
14.25,1
14.5,
14.75,1
