Band Value,afterFiltered Count
-49.5,1
-49,2
-48.5,
-48,3
-47.5,5
-47,5
-46.5,8
-46,10
-45.5,7
-45,9
-44.5,16
-44,28
-43.5,27.518
-43,36.02
-42.5,51.533
-42,67.525
-41.5,107.549
-41,160.008
-40.5,204.239
-40,317.427
-39.5,425.4
-39,559.361
-38.5,768.898
-38,"1,115.62"
-37.5,"1,534.408"
-37,"2,237.498"
-36.5,"3,161.373"
-36,"4,429.188"
-35.5,"6,299.18"
-35,"8,635.22"
-34.5,"11,809.835"
-34,"16,159.682"
-33.5,"21,706.82"
-33,"28,889.231"
-32.5,"37,480.894"
-32,"48,141.804"
-31.5,"60,802.031"
-31,"76,109.149"
-30.5,"93,031.863"
-30,"112,217.212"
-29.5,"132,083.557"
-29,"153,088.282"
-28.5,"173,150.749"
-28,"193,036.345"
-27.5,"209,626.486"
-27,"224,375.255"
-26.5,"237,595.176"
-26,"251,175.494"
-25.5,"266,751.525"
-25,"286,547.486"
-24.5,"316,860.184"
-24,"357,532.702"
-23.5,"412,399.533"
-23,"484,471.396"
-22.5,"575,754.886"
-22,"686,670.416"
-21.5,"814,471.475"
-21,"964,824.388"
-20.5,"1,129,112.38"
-20,"1,302,988.302"
-19.5,"1,485,984.125"
-19,"1,653,558.753"
-18.5,"1,805,311.988"
-18,"1,936,051.11"
-17.5,"2,046,672.506"
-17,"2,161,293.816"
-16.5,"2,283,821.306"
-16,"2,418,365.286"
-15.5,"2,550,719.427"
-15,"2,625,743.529"
-14.5,"2,579,330.231"
-14,"2,368,525.349"
-13.5,"2,003,194.4"
-13,"1,550,957.643"
-12.5,"1,097,401.565"
-12,"715,971.082"
-11.5,"431,212.639"
-11,"244,464.882"
-10.5,"131,790.322"
-10,"69,706.027"
-9.5,"38,186.659"
-9,"22,716.933"
-8.5,"15,357.102"
-8,"11,140.278"
-7.5,"8,712.827"
-7,"6,912.408"
-6.5,"5,457.725"
-6,"4,486.973"
-5.5,"3,588.867"
-5,"2,890.824"
-4.5,"2,305"
-4,"1,900.847"
-3.5,"1,541.604"
-3,"1,220"
-2.5,"1,007.878"
-2,739.361
-1.5,586.631
-1,469.067
-0.5,326.831
0,295
0.5,226.957
1,151
1.5,148
2,110
2.5,86
3,60
3.5,63
4,49
4.5,38
5,32
5.5,32
6,35
6.5,21
7,17
7.5,28
8,17
8.5,17
9,20
9.5,14
10,13
10.5,14
11,8
11.5,3
12,2
12.5,3
13,2
13.5,2
14,1
14.5,2
15,2
15.5,
16,1
16.5,2
17,1
